"","mois","word","n","perc_mois","tf","idf","tf_idf"
"24","8_Août","covid",1251,0.238538337744354,0.00238538337744354,0.0870113769896297,0.000207555492319536
"25","8_Août","19",1246,0.237584947105887,0.00237584947105887,0.0870113769896297,0.000206725933996916
"26","7_Juillet","covid",1385,0.237062546856225,0.00237062546856225,0.0870113769896297,0.000206271386346288
"27","3_Mars","19",2316,0.236904044655799,0.00236904044655799,0.0870113769896297,0.000206133471399138
"28","7_Juillet","19",1373,0.235008575331117,0.00235008575331117,0.0870113769896297,0.000204484197439316
"29","3_Mars","devoir",2272,0.232403276968037,0.00232403276968037,0.0870113769896297,0.000202217291458912
"30","11_Novembre","19",1860,0.232257871169306,0.00232257871169306,0.0870113769896297,0.000202090771871213
"31","12_Décembre","premier",1466,0.231902215093259,0.00231902215093259,0.0870113769896297,0.000201781310622098
"32","3_Mars","épidémie",2239,0.229027701202216,0.00229027701202216,0.0870113769896297,0.000199280156503743
"33","7_Juillet","pays",1324,0.226621524936926,0.00226621524936926,0.0870113769896297,0.000197186509402516
"34","7_Juillet","juillet",1317,0.225423374880613,0.00225423374880613,0.0870113769896297,0.000196143982540116
"35","3_Mars","coronavirus",2182,0.223197161243071,0.00223197161243071,0.0870113769896297,0.00019420692339936
"36","8_Août","août",1163,0.221758662507341,0.00221758662507341,0.0870113769896297,0.000192955265841423
"37","12_Décembre","décembre",1388,0.219563625204259,0.00219563625204259,0.0870113769896297,0.000191045333658575
"38","11_Novembre","premier",1754,0.21902166990912,0.0021902166990912,0.0870113769896297,0.000190573770893607
"39","5_Mai","devoir",2391,0.217604583984812,0.00217604583984812,0.0870113769896297,0.00018934074491774
"40","3_Mars","cas",2125,0.217366621283926,0.00217366621283926,0.0870113769896297,0.000189133690294977
"41","2_Février","deux",304,0.216774340763559,0.00216774340763559,0.0870113769896297,0.000188618338858565
"42","4_Avril","19",2987,0.216515328226945,0.00216515328226945,0.0870113769896297,0.000188392968483881
"43","3_Mars","covid",2108,0.215627688313654,0.00215627688313654,0.0870113769896297,0.000187620620772618
"44","5_Mai","mai",2364,0.215147317666289,0.00215147317666289,0.0870113769896297,0.000187202643657691
"45","2_Février","jour",301,0.214635120295498,0.00214635120295498,0.0870113769896297,0.000186756973672461
"46","3_Mars","jour",2088,0.213581884819217,0.00213581884819217,0.0870113769896297,0.000185840538981606
"47","2_Février","diamond",64,0.045636703318644,0.00045636703318644,0.405465108108164,0.000185040908447942
"48","6_Juin","devoir",1716,0.211894230697991,0.00211894230697991,0.0870113769896297,0.000184372087891905
"49","2_Février","devoir",295,0.210356679359375,0.00210356679359375,0.0870113769896297,0.000183034243300252
"50","4_Avril","devoir",2900,0.210209056531014,0.00210209056531014,0.0870113769896297,0.000182905794644545
"51","6_Juin","covid",1701,0.21004200840168,0.0021004200840168,0.0870113769896297,0.000182760443766976
"52","3_Mars","pays",2047,0.209387987655622,0.00209387987655622,0.0870113769896297,0.000182191371310032
"53","7_Juillet","devoir",1223,0.209333931267266,0.00209333931267266,0.0870113769896297,0.000182144336102173
"54","6_Juin","19",1693,0.209054156510314,0.00209054156510314,0.0870113769896297,0.00018190090023368
"55","4_Avril","covid",2860,0.207309621268517,0.00207309621268517,0.0870113769896297,0.000180382956097723
"56","8_Août","depuis",1086,0.207076446674955,0.00207076446674955,0.0870113769896297,0.000180180067673074
"57","11_Novembre","devoir",1655,0.206659557411399,0.00206659557411399,0.0870113769896297,0.000179817326584332
"58","2_Février","annoncer",289,0.206078238423252,0.00206078238423252,0.0870113769896297,0.000179311512928044
"59","9_Septembre","devoir",1397,0.204077756985317,0.00204077756985317,0.0870113769896297,0.000177570866482475
"60","6_Juin","juin",1639,0.202386156243594,0.00202386156243594,0.0870113769896297,0.000176098981383935
"61","2_Février","autre",283,0.201799797487129,0.00201799797487129,0.0870113769896297,0.000175588782555835
"62","9_Septembre","septembre",1380,0.201594348346269,0.00201594348346269,0.0870113769896297,0.000175410018429359
"63","10_Octobre","premier",1447,0.200399413897499,0.00200399413897499,0.0870113769896297,0.000174370289511361
"64","3_Mars","premier",1935,0.197931488086775,0.00197931488086775,0.0870113769896297,0.000172222913280368
"65","8_Août","devoir",1037,0.197733218417982,0.00197733218417982,0.0870113769896297,0.000172050396111398
"66","7_Juillet","depuis",1155,0.197694759291654,0.00197694759291654,0.0870113769896297,0.000172016932296002
"67","10_Octobre","devoir",1426,0.197491060274936,0.00197491060274936,0.0870113769896297,0.000171839690976642
"68","5_Mai","19",2166,0.197127364663782,0.00197127364663782,0.0870113769896297,0.000171523234417326
"69","4_Avril","avril",2703,0.195929337863218,0.00195929337863218,0.0870113769896297,0.00017048081480145
"70","2_Février","premier",273,0.194669062593591,0.00194669062593591,0.0870113769896297,0.000169384231935488
"71","5_Mai","covid",2131,0.193942019436066,0.00193942019436066,0.0870113769896297,0.000168751621672817
"72","7_Juillet","cas",1133,0.193929144828956,0.00193929144828956,0.0870113769896297,0.000168740419299887
"73","12_Décembre","pays",1224,0.193620949027387,0.00193620949027387,0.0870113769896297,0.000168472253889118
"74","6_Juin","pays",1564,0.193125044762039,0.00193125044762039,0.0870113769896297,0.000168040760759289
"75","10_Octobre","nouveau",1389,0.192366818178041,0.00192366818178041,0.0870113769896297,0.000167381017367851
"76","12_Décembre","devoir",1216,0.192355452628515,0.00192355452628515,0.0870113769896297,0.000167371128046706
"77","8_Août","cas",1004,0.191440840204102,0.00191440840204102,0.0870113769896297,0.000166575311182106
"78","7_Juillet","premier",1107,0.189478873191221,0.00189478873191221,0.0870113769896297,0.000164868176668116
"79","9_Septembre","premier",1295,0.189177305151028,0.00189177305151028,0.0870113769896297,0.000164605778163783
"80","11_Novembre","même",1512,0.188803172692468,0.00188803172692468,0.0870113769896297,0.000164280240359825
"81","11_Novembre","novembre",1506,0.188053953753212,0.00188053953753212,0.0870113769896297,0.000163628334644111
"82","5_Mai","même",2044,0.186024161298602,0.00186024161298602,0.0870113769896297,0.000161862184279323
"83","8_Août","pays",963,0.183623036968675,0.00183623036968675,0.0870113769896297,0.000159772932936621
"84","10_Octobre","depuis",1323,0.183226278221417,0.00183226278221417,0.0870113769896297,0.000159427707687305
"85","4_Avril","pays",2525,0.183026850945107,0.00183026850945107,0.0870113769896297,0.000159254183268095
"86","9_Septembre","depuis",1248,0.182311410678365,0.00182311410678365,0.0870113769896297,0.000158631668840464
"87","4_Avril","même",2500,0.181214703906047,0.00181214703906047,0.0870113769896297,0.000157677409176332
"88","12_Décembre","depuis",1143,0.18080779798881,0.0018080779798881,0.0870113769896297,0.000157323354734691
"89","7_Juillet","nouveau",1054,0.180407165621994,0.00180407165621994,0.0870113769896297,0.000156974758995659
"90","6_Juin","même",1457,0.17991252571502,0.0017991252571502,0.0870113769896297,0.00015654436600146
"91","11_Novembre","octobre",687,0.0857855685447921,0.000857855685447921,0.182321556793955,0.00015640558407541
"92","2_Février","hubei",120,0.0855688187224575,0.000855688187224575,0.182321556793955,0.000156010402424981
"93","3_Mars","même",1749,0.178905515588511,0.00178905515588511,0.0870113769896297,0.00015566815262396
"94","12_Décembre","an",1124,0.177802244041489,0.00177802244041489,0.0870113769896297,0.000154708180858962
"95","12_Décembre","nouveau",1119,0.177011308792194,0.00177011308792194,0.0870113769896297,0.000154019977207454
"96","10_Octobre","président",1275,0.176578612798418,0.00176578612798418,0.0870113769896297,0.00015364348246509
"97","5_Mai","premier",1940,0.176559135479103,0.00176559135479103,0.0870113769896297,0.000153626534981354
"98","8_Août","nouveau",925,0.176377268116329,0.00176377268116329,0.0870113769896297,0.000153468289684709
"99","2_Février","aylward",12,0.00855688187224575,8.55688187224575e-05,1.79175946922805,0.000153318741216622
"100","2_Février","après",247,0.176129151870392,0.00176129151870392,0.0870113769896297,0.000153252400322584
